id,x,y,z,Punch 
302,-9.281759262084961,1.7324036359786987,1.6151553392410278,Hook
303,-9.06401252746582,1.9453648328781128,1.5625132322311401,Hook
304,-9.111868858337402,2.038684844970703,1.5290136337280273,Hook
305,-9.19561767578125,1.9908283948898315,1.581655740737915,Hook
306,-9.219545364379883,1.9669002294540405,1.6965112686157227,Hook
307,-9.255437850952148,1.8400806188583374,1.8161523342132568,Hook
308,-9.183652877807617,1.6965112686157227,1.8448662757873535,Hook
309,-9.05444049835205,1.6390835046768188,1.852044701576233,Hook
310,-9.061619758605957,1.643869161605835,1.8400806188583374,Hook
311,-9.19561767578125,1.5672988891601562,1.7084753513336182,Hook
312,-9.379864692687988,1.5170495510101318,1.5792629718780518,Hook
313,-9.516255378723145,1.5026925802230835,1.5098711252212524,Hook
314,-9.592825889587402,1.5481562614440918,1.526620864868164,Hook
315,-9.611968994140625,1.576870083808899,1.490728497505188,Hook
316,-9.564111709594727,1.5337992906570435,1.4093725681304932,Hook
317,-9.623932838439941,1.526620864868164,1.4069796800613403,Hook
318,-9.695717811584473,1.581655740737915,1.428515076637268,Hook
319,-10.241280555725098,1.7012969255447388,1.191625714302063,Hook
320,-9.860821723937988,2.1846470832824707,1.2993026971817017,Hook
321,-9.812965393066406,2.1032910346984863,1.404586911201477,Hook
322,-9.681360244750977,2.1894326210021973,1.550549030303955,Hook
323,-9.621540069580078,2.2683959007263184,1.4859428405761719,Hook
324,-9.688538551330566,2.287538528442383,1.246660590171814,Hook
325,-9.497113227844238,2.3545374870300293,1.0480563640594482,Hook
